annotators,image file,Human nGaussians,Human median (number),Human median (draw),Ground Truth nGaussian,Ground Truth Median
annotator1,id_0041.jpeg,1,0.055,0.05526913033059963,1,0.05442785443529813
annotator1,id_0014.jpeg,3,0.45,0.4574720348116822,1,0.47881051733437013
annotator1,id_0028.jpeg,2,-0.42,-0.41586289001531257,2,-0.41730220223751163
annotator1,id_0057.jpeg,2,-0.7,-0.7072832902742185,2,-0.758364185226362
annotator1,id_0020.jpeg,1,-0.2,-0.1714275362659401,1,-0.17800685503322328
annotator1,id_0023.jpeg,2,0.8,0.8020354951857875,2,0.8020903968710063
annotator1,id_0013.jpeg,1,-0.15,-0.08537832699993475,2,-0.09791573867882745
annotator1,id_0074.jpeg,2,-0.4,-0.42892174619153806,2,-0.37616593516240066
annotator1,id_0017.jpeg,1,0.74,0.738278676607269,2,0.7408461286659519
annotator1,id_0037.jpeg,1,0.45,0.4576542179357571,2,0.4657712705373124
annotator1,id_0061.jpeg,2,0.7,0.6972339007820628,2,0.7049771345348418
annotator1,id_0079.jpeg,1,-0.01,-0.002272177065474848,2,-0.006342379851248846
annotator1,id_0026.jpeg,3,0.25,0.2121251442970975,2,0.23456224293724018
annotator1,id_0075.jpeg,2,-0.69,-0.6940320927911184,2,-0.6728962413501117
annotator1,id_0010.jpeg,2,0.81,0.813162258760264,2,0.8113902478758562
annotator1,id_0054.jpeg,2,-0.3,-0.2739741458836053,2,-0.20280247331185175
annotator1,id_0032.jpeg,2,0.05,0.017289929305678443,2,0.05062290886161164
annotator1,id_0021.jpeg,1,0.67,-0.6641947904594977,1,-0.6668072757428662
annotator1,id_0009.jpeg,2,0.67,0.7050055429858826,5,0.6573440286804
annotator1,id_0006.jpeg,3,0.2,0.27717997623234125,5,-0.23085111168023553
annotator1,id_0070.jpeg,2,-0.45,-0.4379364846664366,3,-0.36220850185732484
annotator1,id_0076.jpeg,1,0.21,0.226157098894619,2,0.20473896641767864
annotator1,id_0055.jpeg,2,-0.54,-0.5378080771698427,2,-0.5612999095943637
annotator1,id_0068.jpeg,2,0.0,-0.03553135575323374,1,-0.02197910156670367
annotator1,id_0007.jpeg,2,0.22,0.22340002652203958,2,0.2411647474715203
annotator1,id_0040.jpeg,2,0.05,0.04307233862896487,3,0.046109032316598214
annotator1,id_0043.jpeg,2,0.125,0.09442111388809787,2,0.10768968517225372
annotator1,id_0060.jpeg,2,-0.6,-0.5934854848525366,2,-0.5986821108346219
annotator1,id_0034.jpeg,2,0.038,0.03875915274156136,3,0.03886454553907723
annotator1,id_0029.jpeg,2,-0.1,-0.16029161829442284,2,-0.16592075496305483
annotator1,id_0018.jpeg,2,-0.025,-0.025746090173245195,1,-0.02778472116502143
annotator1,id_0065.jpeg,3,-0.2,-0.20031403545999846,5,-0.20806842314644575
annotator1,id_0031.jpeg,1,-0.5,-0.49604829575988885,1,-0.49911056384280833
annotator1,id_0027.jpeg,2,0.19,0.18335708570393675,2,0.19600585397471798
